                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     88,               0.040109,               0.042209,               0.048404,               0.010098,                0.91418,                0.80092,                0.90327,                0.64553,                0.86286,                0.74608,                0.80123,                0.52235,               0.034444,               0.028793,               0.024999,              0.0040779,               0.001387,               0.001387,               0.001387
                     89,                0.03933,               0.040066,               0.045947,               0.010214,                 0.9191,                0.80273,                0.89835,                0.65012,                 0.8587,                0.75504,                0.80549,                0.52613,                0.03427,               0.028704,               0.024966,               0.004048,               0.001288,               0.001288,               0.001288
                     90,               0.039984,                0.04142,               0.045624,               0.010288,                 0.9106,                 0.8095,                0.90183,                0.63973,                 0.8556,                0.75966,                0.81048,                0.52022,               0.034018,               0.028609,                0.02492,              0.0040096,               0.001189,               0.001189,               0.001189
                     91,               0.038788,               0.040878,                0.05088,              0.0090145,                0.90574,                0.81429,                0.90155,                0.65673,                0.84443,                0.76172,                0.81594,                0.52844,               0.033663,               0.028545,               0.024925,              0.0039735,                0.00109,                0.00109,                0.00109
                     92,               0.038107,               0.042549,               0.048973,              0.0094614,                  0.902,                0.81598,                0.90105,                0.64865,                0.84288,                0.75656,                0.81003,                0.52014,                0.03423,               0.028468,               0.025047,              0.0039426,               0.000991,               0.000991,               0.000991
                     93,               0.039748,               0.042177,               0.048107,               0.010275,                   0.91,                0.82167,                0.91356,                0.66016,                0.84529,                0.75335,                0.80674,                0.51828,               0.033779,               0.028386,               0.024943,              0.0039116,               0.000892,               0.000892,               0.000892
                     94,               0.038281,               0.041786,               0.047979,              0.0092145,                0.90143,                0.82916,                0.91205,                0.66659,                 0.8442,                0.76156,                0.81272,                0.52921,               0.033132,               0.028266,               0.024635,              0.0038997,               0.000793,               0.000793,               0.000793
                     95,               0.038712,                0.03985,               0.041968,              0.0098824,                0.89875,                0.82744,                0.90918,                  0.673,                 0.8378,                0.75954,                0.81627,                0.52855,               0.033017,               0.028247,               0.024467,              0.0038444,               0.000694,               0.000694,               0.000694
                     96,               0.038322,               0.042059,               0.045771,              0.0089669,                0.89977,                0.83067,                0.91207,                0.67014,                 0.8407,                 0.7568,                0.81395,                0.52891,                0.03293,               0.028225,               0.024348,              0.0038124,               0.000595,               0.000595,               0.000595
                     97,               0.039989,               0.043507,               0.051616,              0.0097356,                0.89283,                0.82983,                0.90912,                0.67017,                0.83891,                0.75747,                0.81076,                 0.5335,               0.032862,               0.028163,               0.024261,              0.0037869,               0.000496,               0.000496,               0.000496
                     98,               0.038546,               0.041805,               0.049231,              0.0097165,                0.89454,                0.82532,                0.90785,                0.67144,                0.83744,                0.75958,                 0.8117,                0.53248,               0.032794,               0.028084,               0.024256,              0.0037646,               0.000397,               0.000397,               0.000397
                     99,               0.038107,               0.040971,               0.045185,              0.0087935,                0.88061,                0.84062,                0.90904,                0.67153,                0.85094,                0.75835,                0.81451,                0.53556,               0.032682,               0.028019,               0.024234,              0.0037395,               0.000298,               0.000298,               0.000298
                    100,                0.88368,                0.83738,                0.90923,                0.67147,                0.85008,                0.75847,                0.81449,                0.53488,               0.032683,                0.02802,               0.024236,                0.00374
